NUM TECH ERRS RETIRED COLOR DEFAULTS INT-DEFS RADII-DEFS LONG-NAME
 03 TVCE   0      0    21      1        0         0                 Consensus of >=2: AVNI/EGRI/HWFI/EMXI/CTCI (2017 version)
 03 TVCA   0      0    21      1        0         0                 Consensus of >=2: AVNI/EGRI/HWFI/EMXI/CTCI (2017 version)
 03 TVCC   1      0    21      1        0         0                 Corrected version of TVCN
 03 TVCP   0      1    21      0        0         0                 Consensus of >=2: AVNI/EGRI/GHMI/HWFI/CTCI (2016 version)
 03 GFEX   0      0    21      1        0         0                 Consensus of AVNI and EMXI
 03 TVCX   0      0    21      1        0         0                 Consensus of >=2: AVNI/EGRI/HWFI/EMXIx2/CTCI (2017 version)
 03 TVCY   0      0    21      1        0         0                 Consensus of >=2: AVNIx2/EGRI/HWFI/EMXIx2/CTCI (2017 version)
 03 IVCN   0      0    24      0        1         0                 Consensus of >=2: DSHP/LGEM/HWFI/CTCI (2017 version)
 03 IVCX   0      0    24      0        1         0                 Consensus of >=2: DSHP/LGEM/HWFI/CTCT/HMNI (2017 version) 
 03 IVCR   0      0    10      0        1         0                 Consensus of >=2: DSHP/LGEM/HWFI/RI??+CTCI
 03 RYOC   0      0    22      1        0         0                 Forecaster Created Consensus Guidance (any model combination)
 03 MYOC   0      0    22      1        0         0                 Forecaster Created Consensus Guidance (any model combination)
 03 SHFR   0      0    14      0        0         0                 SHIFOR intensity model 3-day
 03 SHF5   0      0    14      0        0         0                 SHIFOR intensity model 5-day
 03 SHIP   0      0     5      0        0         0                 SHIPS model
 03 DSHP   0      0     5      0        1         0                 Decay SHIPS model
 03 LGEM   0      0     7      0        1         0                 SHIPS Logistic Growth Equation (LGE) forecast model
 03 SHPE   0      0     5      0        0         0                 SHIPS model (ECMWF)
 03 DSHE   0      0     5      0        1         0                 Decay SHIPS model (ECMWF)
 03 LGME   0      0     7      0        1         0                 SHIPS Logistic Growth Equation (LGE) forecast model (ECMWF)
 03 SHPP   0      0     5      0        0         0                 SHIPS model parallel (experimental - do not use)
 03 DSPP   0      0     5      0        0         0                 Decay SHIPS model parallel (experimental - do not use)
 03 RI25   0      0    28      0        1         0                 Rapid Intensity Aid 25kts (24 hr RI Prob)
 03 RI30   0      0    28      0        1         0                 Rapid Intensity Aid 30kts (24 hr RI Prob)
 03 RI35   0      0    28      0        1         0                 Rapid Intensity Aid 35kts (24 hr RI Prob)
 03 RI40   0      0    28      0        1         0                 Rapid Intensity Aid 40kts (24 hr RI Prob)
 03 MRCL   0      0     5      0        0         1                 McAdie Radii CLIPER model
 03 MRCI   0      0     5      0        0         1                 McAdie Radii CLIPER model (Interpolated)
 03 DRCL   0      0     5      0        0         1                 DeMaria Radii CLIPER model
 03 DRCI   0      0     5      0        0         1                 DeMaria Radii CLIPER model (Interpolated)
 03 RVCN   0      0     5      0        0         1                 Wind Radii Consensus of >=2: AVHI/EMXI/HHFI/ (2017 version)
 03 AHW4   0      0    59      0        0         0                 SUNY Advanced Hurricane WRF
 03 AHWI   0      0    59      0        0         0                 SUNY Advanced Hurricane WRF (Interpolated 06 hours)
 03 AHW2   0      0    59      0        0         0                 SUNY Advanced Hurricane WRF (Interpolated 12 hours)
 03 COTC   0      0    59      0        0         0                 NRL COAMPS-TC model
 03 COTI   0      0    59      0        0         0                 NRL COAMPS-TC model (Interpolated 06 hours)
 03 COT2   0      0    59      0        0         0                 NRL COAMPS-TC model (Interpolated 12 hours)
 03 CTCX   0      0    59      0        0         0                 NRL COAMPS-TC model experimental version
 03 CTCI   0      0    59      1        1         1                 NRL COAMPS-TC expt (Interpolated 06 hours)
 03 CTC2   0      0    59      1        1         1                 NRL COAMPS-TC expt (Interpolated 12 hours)
 03 A4PS   0      0    12      0        0         0                 PSU ARW w/Doppler 2011 version
 03 A4PI   0      0    12      0        0         0                 PSU ARW w/Doppler 2011 version (Interpolated 06 hours)
 03 A4P2   0      0    12      0        0         0                 PSU ARW w/Doppler 2011 version (Interpolated 12 hours)
 03 APSU   0      0    12      0        0         0                 PSU ARW
 03 APSI   0      0    12      0        0         0                 PSU ARW (Interpolated 06 hours)
