 30.4N  91.2W BATON ROUGE LOUISIANA
 30.1N  93.2W LAKE CHARLES LOUISIANA
 31.4N  92.3W ALEXANDRIA LOUISIANA
 32.5N  93.7W SHREVEPORT LOUISIANA
 32.4N  92.0W MONROE LOUISIANA
 32.3N  90.1W JACKSON MISSISSIPPI
 32.3N  88.8W MERIDIAN MISSISSIPPI
 31.3N  85.5W DOTHAN ALABAMA 
 31.5N  84.2W ALBANY GEORGIA
 33.6N  86.8W BIRMINGHAM ALABAMA
 32.3N  86.4W MONTGOMERY ALABAMA
 34.7N  86.8W HUNTSVILLE ALABAMA
 35.1N  90.0W MEMPHIS TENNESSEE
 36.1N  86.7W NASHVILLE TENNESSEE
 32.7N  83.7W MACON GEORGIA
 32.5N  84.9W COLUMBUS GEORGIA
 30.8N  83.3W VALDOSTA GEORGIA
 33.7N  84.4W ATLANTA GEORGIA
 33.5N  82.0W AUGUSTA GEORGIA
 29.2N  82.2W OCALA FLORIDA
 28.5N  81.3W ORLANDO FLORIDA
 30.4N  84.4W TALLAHASSEE FLORIDA
 34.0N  81.1W COLUMBIA SOUTH CAROLINA
 34.9N  82.4W GREENVILLE SOUTH CAROLINA
 34.2N  79.7W FLORENCE SOUTH CAROLINA  
 35.4N  82.6W ASHEVILLE NORTH CAROLINA
 35.2N  81.0W CHARLOTTE NORTH CAROLINA
 35.8N  78.7W RALEIGH NORTH CAROLINA
 36.1N  79.8W GREENSBORO NORTH CAROLINA 
 37.5N  77.3W RICHMOND VIRGINIA
 37.3N  80.0W ROANOKE VIRGINIA 
 38.1N  78.5W CHARLOTTESVILLE VIRGINIA
 39.3N  76.6W BALTIMORE MARYLAND
 39.9N  75.3W PHILADELPHIA PENSYLVANIA
 42.8N  73.8W ALBANY NEW YORK
